player,team,position,height,weight,age,experience,college,salary,games,minutes,points,points3,points2,points1
Bobby Brown,HOU,PG,29,175,32,2,California State University. Fullerton,680534,25,123,62,14,9,2
Isaiah Thomas,BOS,PG,46,185,27,5,University of Washington,658713,76,2569,2199,245,437,590
Georges Niang,IND,PF,37,230,23,0,Iowa State University,650000,23,93,21,1,8,2
Jake Layman,POR,SF,34,210,22,0,University of Maryland,600000,35,249,78,13,13,13
Joel Bolomboy,UTA,PF,36,235,23,0,Weber State University,600000,12,53,22,1,8,3
Bryn Forbes,SAS,SG,38,190,23,0,Michigan State University,543471,36,285,94,17,19,5
Cheick Diallo,NOP,PF,41,220,20,0,University of Kansas,543471,17,199,87,0,36,15
Chinanu Onuaku,HOU,C,44,245,20,0,University of Louisville,543471,5,52,14,0,5,4
Davis Bertans,SAS,PF,44,210,24,0,,543471,67,808,303,69,34,28
Derrick Jones,PHO,SF,41,190,19,0,University of Nevada. Las Vegas,543471,32,545,168,3,65,29
Dorian Finney-Smith,DAL,PF,47,220,23,0,University of Florida,543471,81,1642,350,56,68,46
Fred VanVleet,TOR,PG,45,195,22,0,Wichita State University,543471,37,294,107,11,28,18
Darren Collison,SAC,PG,50,175,29,7,University of California. Los Angeles,522945,68,2063,900,73,267,147
Jose Calderon,ATL,PG,47,200,35,11,,392478,17,247,61,8,15,7
Derrick Williams,CLE,PF,45,240,25,5,University of Arizona,368029,25,427,156,21,33,27
Dennis Schroder,ATL,PG,40,172,23,3,,270858,79,2485,1414,100,448,218
Deron Williams,CLE,PG,28,200,32,11,University of Illinois at Urbana-Champaign,259626,24,486,179,22,46,21
Isaiah Taylor,HOU,PG,35,170,22,0,University of Texas at Austin,255000,4,52,3,0,1,1
Derrick Rose,NYK,PG,41,190,28,7,University of Memphis,213232,64,2082,1154,13,447,221
Jordan Crawford,NOP,SG,44,195,28,4,Xavier University,173094,19,442,267,37,68,20
Joel Anthony,SAS,C,40,245,34,9,University of Nevada. Las Vegas,165952,19,122,25,0,10,5
Johnny OBryant,CHO,PF,40,257,23,2,Louisiana State University,161483,4,34,18,1,7,1
Chasson Randle,NYK,PG,29,185,23,0,Stanford University,143860,18,225,95,10,18,29
Archie Goodwin,BRK,SG,39,200,22,3,University of Kentucky,119494,12,184,95,4,30,23
Briante Weber,CHO,PG,44,165,24,1,Virginia Commonwealth University,102898,13,159,50,1,19,9
David Nwaba,LAL,SG,50,209,24,0,California Polytechnic State University. San Luis Obispo,73528,20,397,120,1,46,25
Jarrod Uthoff,DAL,PF,39,221,23,0,University of Iowa,63938,9,115,40,3,13,5
C.J. Watson,ORL,PG,30,175,32,9,University of Tennessee,50000,62,1012,281,32,64,57
Alex Poythress,PHI,PF,29,238,23,0,University of Kentucky,31969,6,157,64,6,19,8
Elijah Millsap,PHO,SG,25,225,29,2,University of Alabama at Birmingham,23069,2,23,3,0,1,1
Axel Toupane,NOP,SF,29,197,24,1,,20580,2,41,11,1,4,0
Dahntay Jones,CLE,SF,44,225,36,12,Duke University,18255,1,12,9,0,3,3
